id,created_at,text
1025566784944922624,2018-08-04 02:19:10,"@thedavidrosario @Russo_Brothers Dr. Strange and Tony Stark--narcissist vs. narcissist, magic vs. science. - Russo… https://t.co/SJQYF3iki0"
1025565988048187393,2018-08-04 02:16:00,"""It was important for us to execute [the Sanctum Sanctorum scene] this way because...we really like grounding the w… https://t.co/EVo5RdQV7z"
1025565372269748224,2018-08-04 02:13:33,"@ckelm007 @Russo_Brothers @VuduFans At the end of Iron Man 1, and Tony says ""I am Iron Man""--it felt like we were i… https://t.co/D9rD6Dp3zJ"
1025561964108374016,2018-08-04 02:00:00,"Destiny arrives. Start watching Marvel Studios' ""Avengers: #InfinityWar"" on #Vudu now because we're LIVE with the… https://t.co/5DLnUytmGl"
1025539262488477697,2018-08-04 00:29:48,"@kise_clare Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025539261905477639,2018-08-04 00:29:48,"@bama_saints_fan Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025539085396598784,2018-08-04 00:29:06,"@silversurferfor Looks like you're order was already recieved. If I’m wrong, DM @gofoojihelp and they’ll fix it.… https://t.co/MsCi5f6zSK"
1025538710060838912,2018-08-04 00:27:36,"@Rishabh37506812 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025538452933292033,2018-08-04 00:26:35,"@luufusaro Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025538250327384065,2018-08-04 00:25:47,"@KnoxBloodworth Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025538236217745408,2018-08-04 00:25:43,"@marlenaward81 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025538086774734849,2018-08-04 00:25:08,"@jdea123 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025538028025073665,2018-08-04 00:24:54,"@TwiGGyPrime Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025537922483843073,2018-08-04 00:24:28,"@Kris_Dahl116 Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025536868916621318,2018-08-04 00:20:17,"@Matthewdahl8 Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025536374164873218,2018-08-04 00:18:19,"@grimaldoemilyy Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025536281642774529,2018-08-04 00:17:57,"@DMHPigs Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025536029653127168,2018-08-04 00:16:57,"@dettezilla Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025535895922008064,2018-08-04 00:16:25,"@horne1231 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025535692955439104,2018-08-04 00:15:37,"@TheMaddoxing Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025535680695480321,2018-08-04 00:15:34,"@CindyEd42124393 Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025535565570170880,2018-08-04 00:15:07,"@Sai_K1065 Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025535462436425729,2018-08-04 00:14:42,"@latinoPelon Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025535445533446144,2018-08-04 00:14:38,"@Pleegarden Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025535424897474560,2018-08-04 00:14:33,"@Lospes_ Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025535146135568384,2018-08-04 00:13:27,"@free2inna Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
